participant_id,age
5,9.05
6,10.08
7,17
22,9.1
23,8.02
23,8.02
29,11.08
37,16.06
42,20.82
70,22.24
71,17.11
72,12.24
104,11.48
124,12.49
132,14.88
136,14.47
139,12.41
169,22.91
171,8.09
179,20.97
189,14.24
190,12.38
191,9.92
198,12.71
199,10.51
201,17.02
202,9.53
203,12.57
220,19.27
225,19.18
229,10.47
233,17.99
234,10.95
243,9.94
247,17.44
259,12.97
260,17.7
284,12.66
285,11.81
286,18.99
293,19.78
332,9.34
335,12.53
337,25.36
352,20.32
358,25.25
386,25.32
392,18.88
395,22.67
401,9.9
404,16.53
421,19.51
423,20.09
433,23.69
463,19.33
472,24.24
474,20.55
476,12.37
478,21.38
481,24.37
506,24.63
518,9.02
526,17.18
534,23.53
547,10.22
592,23.04
601,9.95
603,16.75
606,12.28
611,15.73
618,25.97
625,10.94
626,10.94
658,16.61
659,13.23
661,11.07
662,23.98
672,13.17
702,9.8
709,16.73
710,13.54
716,12.1
717,9.31
724,8.05
737,11.53
738,11.51
741,23.34
746,17.36
754,20.06
758,13.79
759,10.55
774,12.05
784,21.05
787,22.84
804,14.27
813,13.07
837,24.19
843,15.82
844,12.14
859,10.32
875,26.02
877,25.09
891,23.49
894,21.05
900,10.53
913,19.11
916,8.19
918,22.48
923,13.07
928,15.08
936,11.56
937,16.9
946,14.82
957,14.57
958,8.1
959,17.07
965,16.37
973,23.56
978,22.11
978,22.11
1013,11.49
1022,11.62
1045,10.1
1059,22.51
1124,10.42
1148,20.95
1149,17.53
1182,17.91
1183,15.1
1184,12.19
1225,19.24
1230,12.35
1245,25.6
1249,16.14
1250,18.12
1288,21.31
1302,15.54
1310,22.28
1338,12.81
1338,12.81
1339,10.43
1352,15.32
1402,11.23
1403,8.39
1443,16.47
1456,9.42
1457,14.94
1461,13.08
1462,10.53
1463,8.24
1488,17.62
1601,18.85
1624,21.78
1685,18.52
1688,21.71
1692,19.43
1708,20.56
1756,25.55
1758,24.51
1758,24.51
1801,23.08
1818,21.2
1850,13.69
1889,8.28
1979,8.06
1980,14.36
1981,13.21
1982,17.25
1982,17.25
1983,8.93
1983,8.93
2039,14.08
2040,11.87
2124,13.96
2134,14.25
2144,14.03
2148,19.54
2282,23.09
2283,21.91
2307,15.42
2337,8.12
2358,18.74
2360,17.87
2360,17.87
2365,21.02
2365,21.02
2388,21.67
2388,21.67
2406,18.63
2406,18.63
2407,21.18
2407,21.18
2430,19.7
2505,10.02
2505,10.02
2506,14.64
2506,14.64
2564,17.43
2564,17.43
2571,11.6
2575,16.11
2575,16.11
2599,15.11
2599,15.11
2603,19.06
2606,18.32
2606,18.32
2607,9.78
2607,9.78
2617,9.47
2661,19.08
2661,19.08
2669,19.24
2673,18.46
2695,14.22
2695,14.22
2696,14.22
2696,14.22
2712,23.67
2765,18.99
2856,11.01
2874,10.13
2874,10.13
2927,-
2927,-
2928,9.26
2928,-
2952,9.94
2952,9.94
2995,16.19
2995,16.19
3042,25.09
3042,25.09
3046,25.03
3046,25.03
3129,20.67
3129,20.67
3151,24.1
3151,24.1
3158,19.04
3158,19.04
3171,20.03
3171,20.03
3177,-
3177,-
3178,8.24
3178,8.24
3197,20.76
3197,20.76
3207,25.64
3207,25.64
3330,-
3330,-
3331,8.47
3331,8.47
3387,17.1
3432,14.87
3454,15.05
3454,15.05
3455,9.41
3455,9.41
3456,-
3456,-
3457,9.73
3457,9.73
3473,9.28
3527,-
3529,12.25
3534,-
3535,12.71
3595,16.78
3596,14.99
3632,-
3633,10.17
3880,19.41
3891,24.5
3897,22.92
3909,22.33
3923,25.3
3932,25.87
3955,-
3956,19.87